,Unnamed: 1,Unnamed: 2
716,dangerously,-2.0
717,daredevil,2.0
718,daring,2.0
719,darkest,-2.0
720,darkness,-1.0
721,dauntless,2.0
722,dazzling,3.0
723,dead,-3.0
724,deadening,-2.0
725,deadlock,-2.0
726,deadly,-3.0
727,deafening,-1.0
728,dear,2.0
729,dearly,3.0
730,death,-2.0
731,deaths,-2.0
732,debonair,2.0
733,debt,-2.0
734,deceit,-3.0
735,deceitful,-3.0
736,deceive,-3.0
737,deceived,-3.0
738,deceives,-3.0
739,deceiving,-3.0
740,deception,-3.0
741,deceptive,-3.0
742,decisive,1.0
743,dedicated,2.0
744,dedication,2.0
745,defeat,-2.0
746,defeated,-2.0
747,defect,-3.0
748,defective,-3.0
749,defects,-3.0
750,defender,2.0
751,defenders,2.0
752,defenseless,-2.0
753,defer,-1.0
754,deferring,-1.0
755,defiant,-1.0
756,deficient,-2.0
757,deficiency,-2.0
758,deficiencies,-2.0
759,deficit,-2.0
760,deformed,-2.0
761,deformities,-2.0
762,deformity,-2.0
763,defraud,-3.0
764,defrauds,-3.0
765,deft,2.0
766,defunct,-2.0
767,degrade,-2.0
768,degraded,-2.0
769,degrades,-2.0
770,dehumanize,-2.0
771,dehumanized,-2.0
772,dehumanizes,-2.0
773,dehumanizing,-2.0
774,deject,-2.0
775,dejected,-2.0
776,dejecting,-2.0
777,dejects,-2.0
778,delay,-1.0
779,delayed,-1.0
780,delectable,3.0
781,delicious,3.0
782,delight,3.0
783,delighted,3.0
784,delightful,3.0
785,delightfully,3.0
786,delighting,3.0
787,delights,3.0
788,demand,-1.0
789,demanded,-1.0
790,demanding,-1.0
791,demands,-1.0
792,demonstration,-1.0
793,demoralize,-2.0
794,demoralized,-2.0
795,demoralizes,-2.0
796,demoralizing,-2.0
797,denial,-2.0
798,denials,-2.0
799,denied,-2.0
800,denier,-2.0
801,deniers,-2.0
802,denies,-2.0
803,denounce,-2.0
804,denounces,-2.0
805,dent,-2.0
806,deny,-2.0
807,denying,-2.0
808,deplore,-3.0
809,deplored,-3.0
810,deplores,-3.0
811,deploring,-3.0
812,deport,-2.0
813,deported,-2.0
814,deporting,-2.0
815,deports,-2.0
816,deportation,-2.0
817,deportations,-2.0
818,depressed,-2.0
819,depressing,-2.0
820,deprivation,-3.0
821,derail,-2.0
822,derailed,-2.0
823,derails,-2.0
824,derelict,-2.0
825,deride,-2.0
826,derided,-2.0
827,derides,-2.0
828,deriding,-2.0
829,derision,-2.0
830,desirable,2.0
831,desire,1.0
832,desired,2.0
833,desirous,2.0
834,despair,-3.0
835,despairing,-3.0
836,despairs,-3.0
837,desperate,-3.0
838,desperately,-3.0
839,despondent,-3.0
840,destroy,-3.0
841,destroyed,-3.0
842,destroying,-3.0
843,destroys,-3.0
844,destruction,-3.0
845,destructive,-3.0
846,detached,-1.0
847,detain,-2.0
848,detained,-2.0
849,detention,-2.0
850,deteriorate,-2.0
851,deteriorated,-2.0
852,deteriorates,-2.0
853,deteriorating,-2.0
854,determined,2.0
855,deterrent,-2.0
856,detract,-1.0
857,detracted,-1.0
858,detracts,-1.0
859,devastate,-2.0
860,devastated,-2.0
861,devastating,-2.0
862,devastation,-2.0
863,devastations,-2.0
864,devoted,3.0
865,devotion,2.0
866,devotional,2.0
867,diamond,1.0
868,dick,-4.0
869,dickhead,-4.0
870,die,-3.0
871,died,-3.0
872,difficult,-1.0
873,diffident,-2.0
874,dignity,2.0
875,dilemma,-1.0
876,dilligence,2.0
877,dipshit,-3.0
878,dire,-3.0
879,direful,-3.0
880,dirt,-2.0
881,dirtier,-2.0
882,dirtiest,-2.0
