RunQueue;syscall;%CPU;RunQueue;syscall;;User%;Sys%;Wait%
;;0,21;;;;;;
;;2,63;;;;;;
;;0,11;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,63;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,66;;;;;;
;;0,22;;;;;;
;;0,22;;;;;;
;;2,09;;;;;;
;;0,64;;;;;;
;;0,21;;;;;;
;;0,2;;;;;;
;;2,7;;;;;;
;;0,22;;;;;;
;;0,22;;;;;;
;;2,67;;;;;;
;;0,23;;;;;;
;;0,21;;;;;;
;;2,69;;;;;;
;;0,17;;;;;;
;;0,17;;;;;;
;;0,17;;;;;;
;;0,17;;;;;;
;;0,17;;;;;;
;;0,29;;;;;;
;;0,52;;;;;;
;;0,53;;;;;;
;;0,26;;;;;;
;;0,5;;;;;;
;;0,53;;;;;;
;;0,28;;;;;;
;;0,51;;;;;;
;;0,51;;;;;;
;;0,25;;;;;;
;;0,48;;;;;;
;;0,54;;;;;;
;;0,28;;;;;;
;;0,47;;;;;;
;;0,5;;;;;;
;;0,26;;;;;;
;;0,48;;;;;;
;;0,52;;;;;;
;;0,27;;;;;;
;;0,48;;;;;;
;;0,52;;;;;;
;;0,27;;;;;;
;;0,48;;;;;;
;;0,52;;;;;;
;;0,28;;;;;;
;;0,47;;;;;;
;;0,51;;;;;;
;;0,27;;;;;;
;;0,51;;;;;;
;;0,53;;;;;;
;;0,28;;;;;;
;;0,49;;;;;;
;;0,53;;;;;;
;;0,27;;;;;;
;;0,48;;;;;;
;;0,53;;;;;;
;;0,28;;;;;;
;;0,46;;;;;;
;;0,52;;;;;;
;;0,27;;;;;;
;;0,46;;;;;;
;;0,53;;;;;;
;;0,28;;;;;;
;;0,46;;;;;;
;;0,52;;;;;;
;;0,28;;;;;;
;;0,45;;;;;;
;;0,51;;;;;;
;;0,26;;;;;;
;;0,45;;;;;;
;;0,52;;;;;;
;;0,26;;;;;;
;;0,46;;;;;;
;;0,51;;;;;;
;;0,3;;;;;;
;;0,47;;;;;;
;;0,48;;;;;;
;;0,3;;;;;;
;;0,5;;;;;;
;;0,47;;;;;;
;;0,35;;;;;;
;;0,46;;;;;;
;;0,53;;;;;;
;;0,27;;;;;;
;;0,46;;;;;;
;;0,52;;;;;;
;;0,28;;;;;;
;;0,46;;;;;;
;;0,53;;;;;;
;;0,27;;;;;;
;;0,45;;;;;;
;;0,5;;;;;;
;;0,28;;;;;;
;;0,45;;;;;;
;;0,51;;;;;;
;;0,27;;;;;;
;;0,44;;;;;;
;;0,52;;;;;;
;;0,29;;;;;;
;;0,47;;;;;;
;;0,54;;;;;;
;;0,28;;;;;;
;;0,42;;;;;;
;;0,5;;;;;;
;;0,28;;;;;;
;;0,45;;;;;;
;;0,52;;;;;;
;;0,28;;;;;;
;;0,48;;;;;;
;;0,53;;;;;;
;;0,29;;;;;;
;;0,46;;;;;;
;;0,53;;;;;;
;;0,27;;;;;;
;;0,44;;;;;;
;;0,52;;;;;;
;;0,29;;;;;;
;;0,44;;;;;;
;;0,52;;;;;;
;;0,27;;;;;;
;;0,45;;;;;;
;;0,51;;;;;;
;;0,27;;;;;;
;;0,45;;;;;;
;;0,49;;;;;;
;;0,27;;;;;;
;;0,42;;;;;;
;;0,5;;;;;;
;;0,28;;;;;;
;;0,44;;;;;;
;;0,49;;;;;;
;;0,26;;;;;;
;;0,45;;;;;;
;;0,48;;;;;;
;;0,29;;;;;;
;;0,47;;;;;;
;;0,46;;;;;;
;;0,27;;;;;;
;;0,51;;;;;;
;;0,48;;;;;;
;;0,28;;;;;;
;;0,49;;;;;;
;;0,46;;;;;;
;;0,27;;;;;;
;;0,48;;;;;;
;;0,47;;;;;;
;;0,26;;;;;;
;;0,49;;;;;;
;;0,46;;;;;;
;;0,27;;;;;;
;;0,48;;;;;;
;;0,47;;;;;;
;;0,28;;;;;;
;;0,48;;;;;;
;;0,46;;;;;;
;;0,28;;;;;;
;;0,47;;;;;;
;;0,47;;;;;;
;;0,24;;;;;;
;;0,47;;;;;;
;;0,46;;;;;;
;;0,29;;;;;;
;;0,49;;;;;;
;;0,47;;;;;;
;;0,28;;;;;;
;;0,46;;;;;;
;;0,47;;;;;;
;;0,28;;;;;;
;;0,51;;;;;;
;;0,5;;;;;;
;;0,27;;;;;;
;;0,49;;;;;;
;;0,49;;;;;;
;;0,27;;;;;;
;;0,46;;;;;;
;;0,47;;;;;;
;;0,29;;;;;;
;;0,47;;;;;;
;;0,47;;;;;;
;;0,31;;;;;;
;;0,47;;;;;;
;;0,46;;;;;;
;;0,36;;;;;;
;;0,42;;;;;;
;;0,5;;;;;;
;;0,29;;;;;;
;;0,43;;;;;;
;;0,49;;;;;;
;;0,26;;;;;;
;;0,47;;;;;;
;;0,46;;;;;;
;;0,3;;;;;;
;;0,45;;;;;;
;;0,46;;;;;;
;;0,3;;;;;;
;;0,47;;;;;;
;;0,51;;;;;;
;;0,29;;;;;;
;;0,5;;;;;;
;;0,53;;;;;;
;;0,3;;;;;;
;;0,47;;;;;;
;;0,5;;;;;;
;;0,29;;;;;;
;;0,46;;;;;;
;;0,49;;;;;;
;;0,29;;;;;;
;;0,47;;;;;;
;;0,5;;;;;;
;;0,3;;;;;;
;;0,48;;;;;;
;;0,5;;;;;;
;;0,3;;;;;;
;;0,47;;;;;;
;;0,5;;;;;;
;;0,26;;;;;;
;;0,49;;;;;;
;;0,5;;;;;;
;;0,28;;;;;;
;;0,49;;;;;;
;;0,49;;;;;;
;;0,27;;;;;;
;;0,48;;;;;;
;;0,49;;;;;;
;;0,28;;;;;;
;;0,49;;;;;;
;;0,49;;;;;;
;;0,3;;;;;;
;;0,52;;;;;;
;;0,52;;;;;;
;;0,29;;;;;;
;;0,5;;;;;;
;;0,5;;;;;;
;;0,29;;;;;;
;;0,48;;;;;;
;;0,51;;;;;;
;;0,27;;;;;;
;;0,5;;;;;;
;;0,49;;;;;;
;;0,32;;;;;;
;;0,49;;;;;;
;;0,51;;;;;;
;;0,33;;;;;;
;;0,49;;;;;;
;;0,47;;;;;;
;;0,32;;;;;;
;;0,48;;;;;;
;;0,49;;;;;;
;;0,3;;;;;;
;;0,46;;;;;;
;;0,47;;;;;;
;;0,33;;;;;;
;;0,47;;;;;;
;;0,49;;;;;;
;;0,32;;;;;;
;;0,47;;;;;;
;;0,48;;;;;;
;;0,35;;;;;;
;;0,5;;;;;;
;;0,47;;;;;;
;;0,34;;;;;;
;;0,48;;;;;;
;;0,46;;;;;;
;;0,34;;;;;;
;;0,46;;;;;;
;;0,46;;;;;;
;;0,34;;;;;;
;;0,48;;;;;;
;;0,44;;;;;;
;;0,34;;;;;;
;;0,46;;;;;;
;;0,46;;;;;;
;;0,31;;;;;;
;;0,47;;;;;;
;;0,44;;;;;;
;;0,32;;;;;;
;;0,46;;;;;;
;;0,46;;;;;;
;;0,33;;;;;;
;;0,45;;;;;;
;;0,43;;;;;;
;;0,38;;;;;;
;;0,44;;;;;;
;;0,46;;;;;;
;;0,34;;;;;;
;;0,44;;;;;;
;;0,46;;;;;;
;;0,33;;;;;;
;;0,48;;;;;;
;;0,48;;;;;;
;;0,35;;;;;;
;;0,44;;;;;;
;;0,45;;;;;;
;;0,34;;;;;;
;;0,45;;;;;;
;;0,45;;;;;;
;;0,35;;;;;;
;;0,44;;;;;;
;;0,46;;;;;;
;;0,33;;;;;;
